geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,-2.5734,-37.72158,-38.92273,-42.33112,-49.93498,-51.50229,-52.61789,-51.39279,-52.9293,-65.22825,-67.67162,-67.75375,-65.50544,-69.44425,-56.66621,-51.80686,-31.2299,31.18199,108.15824,166.54233,290.41476,234.26186,184.03258,167.80166,185.62385,157.60044,176.02833,171.43933,148.06995,141.39689,171.39826,182.66032,197.97071
ago,Angola,4.89551,7.90957,8.1108,2.31241,15.33831,39.60661,46.047,51.69491,60.55455,47.02467,44.1789,41.71334,54.30561,57.51734,39.25134,45.31775,51.86765,70.24228,87.77903,102.47981,110.58349,120.07711,154.07321,175.0256,194.70558,178.57391,148.80105,133.81356,145.51631,84.41326,124.94413,143.55561,151.36367
alb,Albania,-34.0933,-64.43943,-66.55079,-64.72385,-68.84876,-69.076,-76.2152,-71.18585,-53.55004,-51.3544,-48.24229,-39.70805,-36.62603,-33.57412,-37.5696,-37.77728,-36.12641,-36.87585,-35.67193,-31.42363,-24.93303,-31.7848,-28.22724,-23.31377,-26.80963,-31.82393,-19.61625,-20.15651,-25.45523,-31.36494,-24.16403,-30.63958,-30.89842
are,UAE,13.77207,9.90515,15.86725,27.56471,36.06216,42.19408,48.18976,52.01573,56.71675,55.49417,77.9989,81.97006,91.28879,102.18765,115.26994,123.5946,141.07908,188.73058,190.63785,202.26921,211.60481,225.23942,242.64602,247.88478,263.20657,273.05089,259.0554,228.81595,247.42598,243.64413,253.8998,263.69877,262.10229
arg,Argentina,5.39508,7.30969,11.06594,14.46856,16.05069,26.3336,30.68124,37.74948,39.67667,36.50552,31.10115,23.82271,34.99106,49.45243,53.39204,62.3132,72.83187,78.97714,64.6058,77.07201,84.52832,88.51215,92.87786,89.72617,95.88472,93.80662,91.02084,89.48343,82.9437,69.80175,90.30499,93.11931,83.43428
arm,Armenia,3.93646,-47.17735,-75.38366,-86.48563,-82.9587,-87.51642,-83.93463,-83.28882,-85.06167,-82.82203,-82.51548,-85.07563,-83.29796,-81.91058,-78.52513,-78.60694,-75.19742,-72.81919,-78.336,-79.3129,-76.40194,-72.71813,-73.56894,-72.27973,-72.97126,-74.13728,-72.62477,-71.36251,-69.08533,-66.72875,-63.8635,-64.92173,-62.82453
atg,Antigua and Barbuda,0.42761,1.09957,-1.4661,7.33048,12.33965,11.42334,17.89859,20.70861,22.29688,-17.28772,-19.18143,-8.55223,-0.24435,1.34392,5.07025,19.60904,30.9102,40.92853,62.61454,70.12828,29.62737,38.11851,58.39951,70.73916,77.64203,92.24191,69.21197,80.14661,107.88027,68.54001,86.43861,87.23274,97.37324
aus,Australia,0.72784,1.94467,3.35297,5.28003,8.99492,12.58821,16.08089,23.18817,25.35012,27.42313,29.77751,32.73481,32.55265,37.53154,38.30345,40.48758,44.27352,45.57695,47.72821,49.53356,48.64649,48.83003,46.06926,42.68633,44.22926,47.09687,47.93623,47.34915,46.86436,41.34019,38.51644,34.98808,34.53362
aut,Austria,6.40212,-1.70535,-1.61552,-0.76024,4.05105,10.41776,9.69959,10.61123,7.57985,8.3357,15.94674,18.93573,26.9761,29.3145,30.62202,27.14245,22.54558,22.21858,10.55405,19.87758,17.27667,12.13107,13.08234,7.09836,9.43773,10.10928,13.88417,9.14159,11.32875,1.69024,7.49846,-0.54517,-4.45782
aze,Azerbaijan,-2.29883,-19.99669,-29.82558,-38.50792,-39.63417,-49.39483,-51.1438,-51.22095,-51.19298,-48.69531,-50.61497,-51.02603,-46.94758,-47.43649,-44.3749,-43.09185,-48.47009,-42.57282,-50.14245,-52.54141,-47.49387,-42.48374,-40.82545,-38.13001,-38.48939,-38.68093,-39.01091,-38.06266,-34.10822,-36.91859,-33.30055,-29.75093,-23.80092
